tag,question,context,,,,,,,,,,,,,,,,,,,,,,,,
instate tuition,can international students get in-state tuition,"Georgetown University is a private institution and therefore there is no ""in-state"" tuition. The tuition per credit is the same for all students. ",,,,,,,,,,,,,,,,,,,,,,,,
late_documents,can i send required application materials after the application deadline,"It is possible to update your application after you submitted it. Once you get your documents, just email them to us at this address with a note explaining your situation and we will forward it to the admissions team! Please note that the final deadline to submit all application materials is January 15. ",,,,,,,,,,,,,,,,,,,,,,,,
late_documents,can i submit my application after the application deadline,"It is possible to update your application after you submitted it. Once you get your documents, just email them to us at this address with a note explaining your situation and we will forward it to the admissions team! Please note that the final deadline to submit all application materials is January 15. ",,,,,,,,,,,,,,,,,,,,,,,,
late_documents,i haven't received my WES transcripts. Can i submit them after the application deadline?,"It is possible to update your application after you submitted it. Once you get your documents, just email them to us at this address with a note explaining your situation and we will forward it to the admissions team! Please note that the final deadline to submit all application materials is January 15. ",,,,,,,,,,,,,,,,,,,,,,,,
late_documents,can i send my GRE scores after the application deadline,"It is possible to update your application after you submitted it. Once you get your documents, just email them to us at this address with a note explaining your situation and we will forward it to the admissions team! Please note that the final deadline to submit all application materials is January 15. ",,,,,,,,,,,,,,,,,,,,,,,,
late_documents,can still report the GRE score after I submit all my other application materials by the deadline,"It is possible to update your application after you submitted it. Once you get your documents, just email them to us at this address with a note explaining your situation and we will forward it to the admissions team! Please note that the final deadline to submit all application materials is January 15. ",,,,,,,,,,,,,,,,,,,,,,,,
Online/Offline,can i attend the program online,"The program is currently only offered in-person, but students have the option between choosing full-time or part-time. The majority of our students are full-time, but students who are also working typically choose to be part-time. Almost all classes have different sections so students can choose a time that best suits them.",,,,,,,,,,,,,,,,,,,,,,,,
Online/Offline,Is the course Online? or given over the weekend?,"The program is currently only offered in-person, but students have the option between choosing full-time or part-time. The majority of our students are full-time, but students who are also working typically choose to be part-time. Almost all classes have different sections so students can choose a time that best suits them.",,,,,,,,,,,,,,,,,,,,,,,,
Online/Offline,can i attend classes online while working,"The program is currently only offered in-person, but students have the option between choosing full-time or part-time. The majority of our students are full-time, but students who are also working typically choose to be part-time. Almost all classes have different sections so students can choose a time that best suits them.",,,,,,,,,,,,,,,,,,,,,,,,
Online/Offline,can i attend classes online,"The program is currently only offered in-person, but students have the option between choosing full-time or part-time. The majority of our students are full-time, but students who are also working typically choose to be part-time. Almost all classes have different sections so students can choose a time that best suits them.",,,,,,,,,,,,,,,,,,,,,,,,
Online/Offline,Is this program offered online or is this fully in-person?,"The program is currently only offered in-person, but students have the option between choosing full-time or part-time. The majority of our students are full-time, but students who are also working typically choose to be part-time. Almost all classes have different sections so students can choose a time that best suits them.",,,,,,,,,,,,,,,,,,,,,,,,
options,How can you help me?,"I can guide you through the application process, answer questions related to DSAN program, point you to the right resource or help set up meetings",,,,,,,,,,,,,,,,,,,,,,,,
options,What can you do?,"I can guide you through the application process, answer questions related to DSAN program, point you to the right resource or help set up meetings",,,,,,,,,,,,,,,,,,,,,,,,
options,How can you be helpful?,"I can guide you through the application process, answer questions related to DSAN program, point you to the right resource or help set up meetings",,,,,,,,,,,,,,,,,,,,,,,,
options,What support is offered?,"I can guide you through the application process, answer questions related to DSAN program, point you to the right resource or help set up meetings",,,,,,,,,,,,,,,,,,,,,,,,
part time,Can i be a part time student,"Yes. This is possible for students who are not on a student visa. This may be a good option for students who wish to continue their full-time job while attending the program, especially if they receive financial support from their employer. Graduate School rules state that students admitted to a master’s degree program are allowed three years from matriculation to complete all requirements for the degree. Talk to your advisor if you think you might take longer, since there are ways to get an extension.",,,,,,,,,,,,,,,,,,,,,,,,
part time,Can i enroll as part time student,"Yes. This is possible for students who are not on a student visa. This may be a good option for students who wish to continue their full-time job while attending the program, especially if they receive financial support from their employer. Graduate School rules state that students admitted to a master’s degree program are allowed three years from matriculation to complete all requirements for the degree. Talk to your advisor if you think you might take longer, since there are ways to get an extension.",,,,,,,,,,,,,,,,,,,,,,,,
part time,Does the program allow part time students,"Yes. This is possible for students who are not on a student visa. This may be a good option for students who wish to continue their full-time job while attending the program, especially if they receive financial support from their employer. Graduate School rules state that students admitted to a master’s degree program are allowed three years from matriculation to complete all requirements for the degree. Talk to your advisor if you think you might take longer, since there are ways to get an extension.",,,,,,,,,,,,,,,,,,,,,,,,
part time,can international students enroll as part time,"Yes. This is possible for students who are not on a student visa. This may be a good option for students who wish to continue their full-time job while attending the program, especially if they receive financial support from their employer. Graduate School rules state that students admitted to a master’s degree program are allowed three years from matriculation to complete all requirements for the degree. Talk to your advisor if you think you might take longer, since there are ways to get an extension.",,,,,,,,,,,,,,,,,,,,,,,,
part time,can international students enroll as part time,"Yes. It is possible to switch back and forth between full-time and part-time status, and many students do this depending on their desired balance of work and study. However, international students must remain on full-time status throughout and may only switch to part-time status during their last semester. In addition, students should keep in mind that they are required to complete the program within three calendar years.",,,,,,,,,,,,,,,,,,,,,,,,
part time,can i switch from part time to full time,"Yes. It is possible to switch back and forth between full-time and part-time status, and many students do this depending on their desired balance of work and study. However, international students must remain on full-time status throughout and may only switch to part-time status during their last semester. In addition, students should keep in mind that they are required to complete the program within three calendar years.",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,what are the basic prerequisite for the course?,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,can you give me all the information on the prerequisites for the program,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,can you list all prerequisites courses,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,what are the preferred prerequisite courses for the program,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,Is Calculus a prerequisite?,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,Is Statistics a prerequisite?,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,Can you suggest me the prerequisite courses for the program,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_place,Do these online courses fulfill the relevant prerequisites?,You can either take prerequisite classes at Georgetown as a visiting non-degree student or from community colleges or certified online program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_place,is there a preferred institution from where the pre-requisite courses should be taken?,You can either take prerequisite classes at Georgetown as a visiting non-degree student or from community colleges or certified online program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_place,If NVCC is acceptable,You can either take prerequisite classes at Georgetown as a visiting non-degree student or from community colleges/certified online program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_waiver,Is a waiver possible on the prerequisites for the program,"For waiver request, please send your details at gradanalaytics@georgetown.edu",,,,,,,,,,,,,,,,,,,,,,,,
prereq_waiver,Can the prerequisites be waived off.,"For waiver request, please send your details at gradanalaytics@georgetown.edu",,,,,,,,,,,,,,,,,,,,,,,,
prereq_place,How to complete the course prerequisites?,You can either take prerequisite classes at Georgetown as a visiting non-degree student or from community colleges or certified online program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_place,How can I meet all course prerequisites?,You can either take prerequisite classes at Georgetown as a visiting non-degree student or from community colleges or certified online program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_lang,could you tell me which computer languages are preferred?,We use R and Python extensively in our program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_lang,What coding languages are prefered?,We use R and Python extensively in our program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_lang,Is there any specific programming language used?,We use R and Python extensively in our program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_lang,Should I know Python or R?,We use R and Python extensively in our program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_lang,which all programming languages are preferred for the program?,We use R and Python extensively in our program,,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,what are the prerequisites for the course?,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,is there any prerequisite course I need to take to get into this program,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_place,can I complete the prerequisite credits after being accepted to the school.,These courses must be complete before you start the program in August.,,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,Can I see the program requirements webpage?,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_waiver,Can I take prerequisite courses at Georgetown so I can fulfill the MS application requirements?,"Yes, you can take classes at Georgetown as a visiting non-degree student. And accept prerequisite courses from community colleges or certified online program",,,,,,,,,,,,,,,,,,,,,,,,
prereq_waiver,Can I take prerequisite courses at Georgetown to fulfill the application requirements?,"Yes, you can take classes at Georgetown as a visiting non-degree student. And accept prerequisite courses from community colleges or certified online program",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,Can you give me more details on prerequisite?,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_course,What are the recommended prerequisites?,"Required courses are Multivariable Calculus , Calculus-based Statistics, Computer Programming. For more information Check here https://analytics.georgetown.edu/admissions/requirements/",,,,,,,,,,,,,,,,,,,,,,,,
prereq_place,how I could meet the requirements?,You can either take prerequisite classes at Georgetown as a visiting non-degree student or from community colleges or certified online program,,,,,,,,,,,,,,,,,,,,,,,,
recommendation letters,can you give me more information about the recommendation letters,"Our application requires 3 letters of recommendation. Recommenders can be anyone you know that you believe could help make your application stronger and can speak to your ability to succeed in the program. These typically come from professors, mentors, work managers, etc.",,,,,,,,,,,,,,,,,,,,,,,,
recommendation letters,can I submit two recommendation letters from professionals and 1 from school,"Our application requires 3 letters of recommendation. Recommenders can be anyone you know that you believe could help make your application stronger and can speak to your ability to succeed in the program. These typically come from professors, mentors, work managers, etc.",,,,,,,,,,,,,,,,,,,,,,,,
recommendation letters,How many recommendation letters do I need for this program?,"Our application requires 3 letters of recommendation. Recommenders can be anyone you know that you believe could help make your application stronger and can speak to your ability to succeed in the program. These typically come from professors, mentors, work managers, etc.",,,,,,,,,,,,,,,,,,,,,,,,
recommendation letters,Do my three letters of recommendation have to come from academic sources?,"Our application requires 3 letters of recommendation. Recommenders can be anyone you know that you believe could help make your application stronger and can speak to your ability to succeed in the program. These typically come from professors, mentors, work managers, etc.",,,,,,,,,,,,,,,,,,,,,,,,
recommendation letters,Could I have a recommendation letter from the professional resource?,"Our application requires 3 letters of recommendation. Recommenders can be anyone you know that you believe could help make your application stronger and can speak to your ability to succeed in the program. These typically come from professors, mentors, work managers, etc.",,,,,,,,,,,,,,,,,,,,,,,,
recommendation letters,Do my three letters of recommendation have to come from academic sources?,"Our application requires 3 letters of recommendation. Recommenders can be anyone you know that you believe could help make your application stronger and can speak to your ability to succeed in the program. These typically come from professors, mentors, work managers, etc.",,,,,,,,,,,,,,,,,,,,,,,,
scope,Would this program help prepare someone to enter a field of business analytics?,"Yes, the courses you take as a part of this program will help you develop many of the skills you will need as a business analyst. You can review our curriculum to see if it aligns with what you are looking for.  ",,,,,,,,,,,,,,,,,,,,,,,,
scope,"Since there is no capstone project, are there other projects within the course that would help prepare you for real-world examples?",Each course has a final project at the end of the course. These are designed to help prepare students for real-world data science problems.,,,,,,,,,,,,,,,,,,,,,,,,
score confirmation,I have already sent my scores. Can I get a confirmation if you received it ,"You can check the status of your application materials by logging into the application portal and viewing your application checklist. Unfortunately, we in the MS DSAN program do not have access to test scores, so if you have further questions, please contact the Office of Graduate Admissions at gradmail@georgetown.edu.",,,,,,,,,,,,,,,,,,,,,,,,
score confirmation,has the program received my scores?,"You can check the status of your application materials by logging into the application portal and viewing your application checklist. Unfortunately, we in the MS DSAN program do not have access to test scores, so if you have further questions, please contact the Office of Graduate Admissions at gradmail@georgetown.edu.",,,,,,,,,,,,,,,,,,,,,,,,
score confirmation,Could I know the approximate number of days needed to process my transcript? ,"You can check the status of your application materials by logging into the application portal and viewing your application checklist. Unfortunately, we in the MS DSAN program do not have access to test scores, so if you have further questions, please contact the Office of Graduate Admissions at gradmail@georgetown.edu.",,,,,,,,,,,,,,,,,,,,,,,,
score confirmation,I would like to get confirmation if you received the TOEFL and GRE scores.,"You can check the status of your application materials by logging into the application portal and viewing your application checklist. Unfortunately, we in the MS DSAN program do not have access to test scores, so if you have further questions, please contact the Office of Graduate Admissions at gradmail@georgetown.edu.",,,,,,,,,,,,,,,,,,,,,,,,
statement of purpose,instructions for statement of purpose,"In your statement of purpose please let us know why you selected Georgetown specifically, why you want to earn a data science degree, why you think you are a good fit for our program, and why you think our program is a good fit for you. Provide any academic background, research projects, or work experience that you think has prepared you for a graduate program in data science. ",,,,,,,,,,,,,,,,,,,,,,,,
stem,is the program STEM,"Yes, our program is a STEM certified program.",,,,,,,,,,,,,,,,,,,,,,,,
stem,is this program STEM eligible,"Yes, our program is a STEM certified program.",,,,,,,,,,,,,,,,,,,,,,,,
stem,is the program STEM certified,"Yes, our program is a STEM certified program.",,,,,,,,,,,,,,,,,,,,,,,,
summer courses,Does the program offer graduate courses during the summer?,"Yes, the Data Science & Analytics program typically offers one to two classes during summer semester. Students may also take coursework from other programs to satisfy elective requirements during the summer.",,,,,,,,,,,,,,,,,,,,,,,,
summer courses,Are summer courses offered,"Yes, the Data Science & Analytics program typically offers one to two classes during summer semester. Students may also take coursework from other programs to satisfy elective requirements during the summer.",,,,,,,,,,,,,,,,,,,,,,,,
thanks,Thanks,Anytime. Good luck on your application!,,,,,,,,,,,,,,,,,,,,,,,,
thanks,Thank you,My pleasure!,,,,,,,,,,,,,,,,,,,,,,,,
thanks,That’s helpful,Anytime!,,,,,,,,,,,,,,,,,,,,,,,,
thanks,"Awesome, thanks",My pleasure!,,,,,,,,,,,,,,,,,,,,,,,,
thanks,Thanks for helping me,Good luck on your application!,,,,,,,,,,,,,,,,,,,,,,,,
toefl,can i get TOEFL waiver,"If you earn your degree from an accredited institution in which English is the primary language of instruction, you do not have to submit TOEFL/IELTS scores.",,,,,,,,,,,,,,,,,,,,,,,,
toefl,is TOEFL mandatory,"If you earn your degree from an accredited institution in which English is the primary language of instruction, you do not have to submit TOEFL/IELTS scores else.",,,,,,,,,,,,,,,,,,,,,,,,
toefl,Do I have to self-report my scores or send it through ETS?,"To report your official test scores, you will need to have your scores sent directly by the testing agency. We are unable to accept copies or unofficial score reports sent by applicants. You should request that ETS (Educational Testing Services) send your TOEFL scores to Georgetown University Graduate School of Arts and Sciences (ETS Code: 5244). You do not need to specify any departmental code.",,,,,,,,,,,,,,,,,,,,,,,,
toefl,is English-proficiency mandatory to apply in your university,"If you earn your degree from an accredited institution in which English is the primary language of instruction, you do not have to submit TOEFL/IELTS scores.",,,,,,,,,,,,,,,,,,,,,,,,
toefl,what is the minimum required TOEFL score,A minimum score of 600 (paper-based test) or 250 (computer-based tests) or 100 (iBT test) on the Test of English as a Foreign Language (TOEFL).,,,,,,,,,,,,,,,,,,,,,,,,
toefl,Do you accept TOEFL Home Edition Test for Fall2023 applicants?,"Yes, we do accept the TOEFL IBT Special Home edition.",,,,,,,,,,,,,,,,,,,,,,,,
toefl,Am I eligible for an English test waiver.,Its applicable only if you earn a degree from an institution where the primary language of instruction is English,,,,,,,,,,,,,,,,,,,,,,,,
wes,do I need to do the international transcripts evaluation like WES on the transcripts,"International applicants who attended institutions outside of the United States must submit WES. You will not need to send your WES report to our school at this time; instead, you should ask WES to send the evaluation directly to you, and then you should upload the evaluation directly to the online application. An official transcript will be required if you are offered admission to the program.",,,,,,,,,,,,,,,,,,,,,,,,
wes,Do international students require WES evaluation?,"International applicants who attended institutions outside of the United States must submit WES. You will not need to send your WES report to our school at this time; instead, you should ask WES to send the evaluation directly to you, and then you should upload the evaluation directly to the online application. An official transcript will be required if you are offered admission to the program.",,,,,,,,,,,,,,,,,,,,,,,,
wes,can I waive WES requirement,"International applicants who attended institutions outside of the United States must submit WES. You will not need to send your WES report to our school at this time; instead, you should ask WES to send the evaluation directly to you, and then you should upload the evaluation directly to the online application. An official transcript will be required if you are offered admission to the program.",,,,,,,,,,,,,,,,,,,,,,,,
wes,is WES mandatory for international students,"International applicants who attended institutions outside of the United States must submit WES. You will not need to send your WES report to our school at this time; instead, you should ask WES to send the evaluation directly to you, and then you should upload the evaluation directly to the online application. An official transcript will be required if you are offered admission to the program.",,,,,,,,,,,,,,,,,,,,,,,,
wes,how can i submit WES scores,"International applicants who attended institutions outside of the United States must submit WES. You will not need to send your WES report to our school at this time; instead, you should ask WES to send the evaluation directly to you, and then you should upload the evaluation directly to the online application. An official transcript will be required if you are offered admission to the program.",,,,,,,,,,,,,,,,,,,,,,,,
